Gene	Direction_in_ABCs
Ms4a6d	down
Ptprj	down
Mapre3	down
Vopp1	down
Ms4a4b	down
Decr1	down
Ppp1cb	down
Lilra6	down
Abcg1	down
Coro2b	down
Abcc4	down
Pkib	down
Ppp2r5e	down
Nr1d2	down
Appl1	down
Ppp3ca	down
Ms4a4c	down
Fntb	down
Nr3c1	down
Lgals8	down
Gnal	down
Kcnk5	down
Samsn1	down
Pik3ca	down
Ppp3cb	down
Atp6ap2	down
Abca3	down
Itpr3	down
Dcun1d2	down
Abca1	down
Taf1b	down
Atp9b	down
Serpinb6a	down
Suclg2	down
Lig1	down
Plekhm3	down
Itpr2	down
Atp11b	down
Pou2f2	down
B4galt6	down
Itpr1	down
Dcun1d5	down
B3galnt2	down
Prkar2b	down
Mios	down
Tcf7l2	down
C1galt1	down
Gbe1	down
Sepp1	down
Treml2	down
Col14a1	down
Apbb1ip	down
Nr3c2	down
Rab10os	down
Abcc5	down
Mapre2	down
Atp11c	down
Slc4a7	down
Pi4ka	down
Abcb4	down
Prkaa1	down
Abcb1b	down
Abcc1	down
Dnah8	down
Pip4k2a	down
Atp11a	down
Prkag2	down
Abcb1a	down
Epm2a	down
Ptprm	down
Rpl17	down
Prkdc	down
H2-T10	down
Atp6v1h	down
Pear1	down
Dnajc4	down
Zfp707	down
Kdm8	down
Rgs14	down
Ddx23	down
Rgl2	down
Ier2	down
Ncf4	down
Abhd11	down
Prkd2	down
Dhx30	down
Kcnq5	down
Arhgef18	down
Irf5	down
Pik3ip1	down
Mif4gd	down
Irak3	down
Pim3	down
Atp5sl	down
Ccnl1	down
Grk6	down
Ptk2b	down
Slc25a13	down
Neurl4	down
Top3b	down
Wdr24	down
Ccdc69	down
Atp13a1	down
Rxrb	down
Mrgbp	down
Phc1	down
Pisd-ps1	down
Tarbp2	down
Polr2j	down
Men1	down
Zfp646	down
Mob2	down
Trmu	down
Pan2	down
Rcsd1	down
Thsd7a	down
Sh2b1	down
Tfpt	down
Spns1	down
Pfdn6	down
Usf1	down
Trmt1	down
Irf3	down
Ldb1	down
Siglecg	down
Hnrnpl	down
Zc3h12a	down
Ankrd54	down
Fpgs	down
Map4k2	down
Trit1	down
Dvl1	down
Cdk16	down
Clk2	down
Prcc	down
Whrn	down
Eral1	down
Ccnl2	down
Mapkapk5	down
Tomm34	down
Asb6	down
Cd200	down
Med11	down
Stk11	down
Dhodh	down
S1pr4	down
Rpl11	down
Plcl2	down
Tprn	down
Leng9	down
Traf3ip3	down
Zfp318	down
Rpl24	down
Klc4	down
Armc6	down
Sharpin	down
Fmnl3	down
Rnf167	down
Hdac10	down
Cbx7	down
Nob1	down
Foxj2	down
Snhg5	down
Rpl3	down
Pax5	down
Cep85	down
Rfxank	down
Btbd2	down
1500012F01Rik	down
A630001G21Rik	down
Adprhl2	down
Sh3tc1	down
Icosl	down
Ppox	down
Brwd1	down
Wash	down
Mum1	down
Ccm2	down
Tmed1	down
5031414D18Rik	down
Bud13	down
Ncln	down
Atn1	down
Sh3bp5l	down
Ier5	down
Capn10	down
Kif21b	down
Ddit3	down
Mri1	down
Trim39	down
Tagap1	down
Lmbr1l	down
Inadl	down
Bcr	down
Llgl2	down
Galt	down
Rnf31	down
AI846148	down
Dgkz	down
Hdac7	down
Ntmt1	down
Rpl29	down
Mrpl38	down
Map3k11	down
Pan3	down
Traf3ip2	down
Brd2	down
Mndal	down
Fbxl6	down
5830428H23Rik	down
Zfp7	down
Ppie	down
Phc2	down
Sh2d2a	down
Atxn7l2	down
Snrpd2	down
Gpbp1l1	down
Osbpl5	down
Ccdc137	down
Lin37	down
Pex6	down
Hsdl1	down
Pagr1a	down
Polr2e	down
Unc13d	down
Myo1c	down
Chchd7	down
Lck	down
Rps28	down
Mtg2	down
Heatr6	down
Vpreb3	down
Sh3bp1	down
Mark3	down
2310001H17Rik	down
Armc3	down
Samd9l	down
Unc45a	down
Pcnxl3	down
Mkl1	down
Nop56	down
Rpl28	down
Gm11974	down
Ilkap	down
Akna	down
Dnajc17	down
Zfp598	down
Ranbp3	down
Ltb	down
Ifi35	down
Nadsyn1	down
Cyth2	down
Shisa5	down
Eps8l1	down
Ankrd16	down
Tsr3	down
Vps16	down
Gramd1a	down
Ddx39b	down
Zfp36	down
Trp53i11	down
Dtd1	down
Rpl18	down
Clcf1	down
Sirt7	down
Trim11	down
Tmc6	down
Lta	down
Trim30b	down
Egln2	down
Ip6k1	down
Agpat9	down
Atg16l2	down
Nol12	down
Unk	down
Rpain	down
Zfp608	down
Zpr1	down
Txnrd2	down
Mapk8ip3	down
Pank4	down
Arhgap17	down
Mrpl12	down
Hdac5	down
BC037034_1	down
Tmub1	down
Stk16	down
Mapk11	down
Snhg12	down
Traf5	down
Rpl12	down
Prdm15	down
Cry2	down
Atp10d	down
Ddb2	down
Mrpl2	down
Atg16l1	down
Arhgef1	down
Snx8	down
Zhx2	down
Vps72	down
Ralgps2	down
Neat1	down
Angel1	down
Bcl11a	down
Rnf40	down
Inpp5a	down
Rufy1	down
Selo	down
Cd37	down
Sh3gl1	down
Rpl13	down
Uckl1	down
Rbm38	down
Mbd6	down
Kat2a	down
H2-Ke6	down
Fmnl1	down
Nudt13	down
Dph2	down
Rps19	down
Uba7	down
Rnf122	down
Sun1	down
Rpl6	down
Rpl5	down
Mau2	down
Rpl8	down
Hmg20b	down
Atxn2l	down
Myg1	down
Safb2	down
Daxx	down
Abt1	down
Srrt	down
Bet1l	down
Ddx49	down
Hira	down
Phrf1	down
Trappc5	down
Zfp821	down
Rmnd1	down
Rpl34	down
N4bp3	down
Ndufs7	down
Secisbp2	down
Jakmip1	down
0610010K14Rik	down
Mospd3	down
Mrpl46	down
St14	down
Hgs	down
Bbs9	down
Lrrc42	down
Trim12a	down
Hsh2d	down
Ppcdc	down
